15S_rRNA	2449
21S_rRNA	6068
HRA1	147
ICR1	2439
LSR1	1063022
NME1	24335
PWR1	38
Q0010	4
Q0017	0
Q0032	2
Q0045	6900
Q0050	29895
Q0055	22539
Q0060	654
Q0065	2246
Q0070	13
Q0075	1843
Q0080	2
Q0085	461
Q0092	0
Q0105	983
Q0110	197
Q0115	37
Q0120	46
Q0130	14265
Q0140	61
Q0142	4
Q0143	1
Q0144	0
Q0160	766
Q0182	722
Q0250	8295
Q0255	180
Q0275	12916
Q0297	0
RDN18-1	0
RDN18-2	0
RDN25-1	0
RDN25-2	0
RDN37-1	0
RDN37-2	0
RDN5-1	0
RDN5-2	0
RDN5-3	0
RDN5-4	0
RDN5-5	0
RDN5-6	0
RDN58-1	0
RDN58-2	0
RNA170	128
RPM1	151
RPR1	60626
RUF20	367
RUF21	135
RUF22	9
RUF23	141
RUF5-1	0
RUF5-2	0
SCR1	3455554
SRG1	2350
TLC1	17505
YAL001C	6128
YAL002W	5613
YAL003W	35602
YAL004W	11
YAL005C	72465
YAL007C	7151
YAL008W	1966
YAL009W	1825
YAL010C	1984
YAL011W	1006
YAL012W	13989
YAL013W	959
YAL014C	2054
YAL015C	2201
YAL016C-A	617
YAL016C-B	4
YAL016W	10133
YAL017W	16071
YAL018C	124
YAL019W	15134
YAL019W-A	125
YAL020C	1237
YAL021C	9725
YAL022C	3915
YAL023C	26295
YAL024C	6095
YAL025C	3006
YAL026C	9454
YAL026C-A	705
YAL027W	714
YAL028W	1418
YAL029C	16734
YAL030W	2908
YAL031C	4002
YAL031W-A	11
YAL032C	2006
YAL033W	2584
YAL034C	4031
YAL034C-B	38
YAL034W-A	356
YAL035W	29305
YAL036C	10420
YAL037C-A	10
YAL037C-B	44
YAL037W	549
YAL038W	547385
YAL039C	2458
YAL040C	6415
YAL041W	7949
YAL042C-A	85
YAL042W	14894
YAL043C	7548
YAL044C	3478
YAL044W-A	2542
YAL045C	3
YAL046C	1774
YAL047C	1728
YAL047W-A	119
YAL048C	2012
YAL049C	4933
YAL051W	5420
YAL053W	28019
YAL054C	1809
YAL055W	195
YAL056C-A	25
YAL056W	4501
YAL058W	3617
YAL059C-A	41
YAL059W	2873
YAL060W	7522
YAL061W	760
YAL062W	1124
YAL063C	119
YAL063C-A	182
YAL064C-A	48
YAL064W	25
YAL064W-B	135
YAL065C	38
YAL066W	3
YAL067C	672
YAL067W-A	0
YAL068C	0
YAL068W-A	0
YAL069W	0
YAR002C-A	18853
YAR002W	5564
YAR003W	3550
YAR007C	8979
YAR008W	1567
YAR009C	1752
YAR010C	0
YAR014C	8196
YAR015W	6737
YAR018C	1448
YAR019C	3716
YAR019W-A	50
YAR020C	124
YAR023C	474
YAR027W	2448
YAR028W	1091
YAR029W	476
YAR030C	180
YAR031W	343
YAR033W	242
YAR035C-A	20
YAR035W	431
YAR042W	15662
YAR047C	80
YAR050W	479
YAR053W	21
YAR060C	0
YAR061W	0
YAR062W	0
YAR064W	5
YAR066W	0
YAR068W	2
YAR069C	0
YAR070C	2
YAR071W	555
YAR073W	156
YAR075W	38
YBL001C	4492
YBL002W	23228
YBL003C	3945
YBL004W	47584
YBL005W	2497
