15S_rRNA	2
21S_rRNA	8
HRA1	74
ICR1	5514
LSR1	1324023
NME1	32805
PWR1	20
Q0010	0
Q0017	0
Q0032	0
Q0045	5
Q0050	15
Q0055	23
Q0060	0
Q0065	1
Q0070	0
Q0075	2
Q0080	0
Q0085	0
Q0092	0
Q0105	0
Q0110	0
Q0115	0
Q0120	0
Q0130	15
Q0140	0
Q0142	0
Q0143	0
Q0144	0
Q0160	1
Q0182	1
Q0250	19118
Q0255	1711
Q0275	6
Q0297	0
RDN18-1	0
RDN18-2	0
RDN25-1	0
RDN25-2	0
RDN37-1	0
RDN37-2	0
RDN5-1	1
RDN5-2	0
RDN5-3	0
RDN5-4	0
RDN5-5	0
RDN5-6	0
RDN58-1	0
RDN58-2	0
RNA170	165
RPM1	0
RPR1	63467
RUF20	163
RUF21	71
RUF22	3
RUF23	41
RUF5-1	0
RUF5-2	0
SCR1	4289301
SRG1	2421
TLC1	9282
YAL001C	5470
YAL002W	8303
YAL003W	28179
YAL004W	2
YAL005C	74357
YAL007C	4977
YAL008W	2103
YAL009W	1169
YAL010C	2299
YAL011W	1146
YAL012W	19978
YAL013W	1112
YAL014C	2534
YAL015C	1785
YAL016C-A	429
YAL016C-B	4
YAL016W	11893
YAL017W	17360
YAL018C	141
YAL019W	10221
YAL019W-A	93
YAL020C	1600
YAL021C	11591
YAL022C	3285
YAL023C	32896
YAL024C	7115
YAL025C	1586
YAL026C	9417
YAL026C-A	560
YAL027W	1386
YAL028W	2090
YAL029C	12974
YAL030W	3533
YAL031C	4064
YAL031W-A	57
YAL032C	1623
YAL033W	976
YAL034C	5761
YAL034C-B	37
YAL034W-A	578
YAL035W	18277
YAL036C	5430
YAL037C-A	28
YAL037C-B	19
YAL037W	441
YAL038W	623612
YAL039C	1278
YAL040C	10467
YAL041W	8075
YAL042C-A	187
YAL042W	17676
YAL043C	7320
YAL044C	7382
YAL044W-A	1743
YAL045C	9
YAL046C	1377
YAL047C	1957
YAL047W-A	89
YAL048C	3147
YAL049C	5454
