15S_rRNA	1752
21S_rRNA	4970
HRA1	7
ICR1	1391
LSR1	822191
NME1	32488
PWR1	22
Q0010	4
Q0017	0
Q0032	5
Q0045	7089
Q0050	21076
Q0055	15635
Q0060	716
Q0065	1741
Q0070	89
Q0075	1377
Q0080	8
Q0085	550
Q0092	0
Q0105	1343
Q0110	342
Q0115	71
Q0120	189
Q0130	11951
Q0140	66
Q0142	2
Q0143	3
Q0144	0
Q0160	971
Q0182	385
Q0250	9468
Q0255	345
Q0275	13127
Q0297	0
RDN18-1	0
RDN18-2	0
RDN25-1	0
RDN25-2	0
RDN37-1	0
RDN37-2	0
RDN5-1	0
RDN5-2	0
RDN5-3	0
RDN5-4	0
RDN5-5	0
RDN5-6	0
RDN58-1	0
RDN58-2	0
RNA170	59
RPM1	146
RPR1	43295
RUF20	302
RUF21	9
RUF22	2
RUF23	26
RUF5-1	0
RUF5-2	0
SCR1	2809384
SRG1	2055
TLC1	14979
YAL001C	3396
YAL002W	6455
YAL003W	55907
YAL004W	10
YAL005C	48568
YAL007C	7740
YAL008W	1787
YAL009W	1481
YAL010C	1409
YAL011W	1047
YAL012W	11209
YAL013W	848
YAL014C	1790
YAL015C	1855
YAL016C-A	24
YAL016C-B	0
YAL016W	11027
YAL017W	11097
YAL018C	50
YAL019W	12526
YAL019W-A	17
YAL020C	798
YAL021C	9169
YAL022C	5233
YAL023C	28397
YAL024C	6292
YAL025C	3496
YAL026C	13618
YAL026C-A	797
YAL027W	648
YAL028W	533
YAL029C	18553
YAL030W	2462
YAL031C	2011
YAL031W-A	14
YAL032C	1905
YAL033W	1702
YAL034C	2217
YAL034C-B	17
YAL034W-A	510
YAL035W	28447
YAL036C	8750
YAL037C-A	25
YAL037C-B	88
YAL037W	301
YAL038W	455453
YAL039C	2717
YAL040C	8562
YAL041W	5690
YAL042C-A	14
YAL042W	12284
YAL043C	5454
YAL044C	8132
YAL044W-A	1915
YAL045C	6
YAL046C	1208
YAL047C	1111
YAL047W-A	21
YAL048C	1987
YAL049C	3374
YAL051W	3992
YAL053W	29890
YAL054C	1068
YAL055W	201
YAL056C-A	6
YAL056W	4136
YAL058W	3838
YAL059C-A	39
YAL059W	5142
YAL060W	5513
YAL061W	343
YAL062W	774
YAL063C	49
YAL063C-A	68
YAL064C-A	32
YAL064W	13
YAL064W-B	64
YAL065C	28
YAL066W	2
YAL067C	282
YAL067W-A	0
YAL068C	1
YAL068W-A	0
YAL069W	0
YAR002C-A	17179
YAR002W	4708
YAR003W	2879
YAR007C	4861
YAR008W	1119
YAR009C	872
YAR010C	0
YAR014C	6795
YAR015W	6639
YAR018C	837
YAR019C	2430
YAR019W-A	4
YAR020C	71
YAR023C	320
YAR027W	1507
YAR028W	1156
YAR029W	289
YAR030C	140
YAR031W	497
YAR033W	174
YAR035C-A	1
YAR035W	167
YAR042W	10194
YAR047C	37
YAR050W	425
YAR053W	9
YAR060C	0
YAR061W	0
YAR062W	0
YAR064W	1
YAR066W	0
YAR068W	0
YAR069C	0
YAR070C	0
YAR071W	289
YAR073W	13
YAR075W	6
YBL001C	5554
YBL002W	22094
YBL003C	5343
YBL004W	58617
YBL005W	2135
YBL005W-A	0
YBL005W-B	3785
YBL006C	1542
YBL006W-A	12
YBL007C	18149
YBL008W	3935
YBL008W-A	6
YBL009W	3327
YBL010C	642
YBL011W	8892
YBL012C	3
YBL013W	431
YBL014C	6430
YBL015W	1628
YBL016W	2690
YBL017C	22148
YBL018C	1416
YBL019W	1105
YBL020W	8737
YBL021C	423
YBL022C	14009
YBL023C	4557
YBL024W	18907
YBL025W	622
YBL026W	3254
YBL027W	38014
YBL028C	3616
YBL029C-A	910
YBL029W	419
YBL030C	9743
YBL031W	855
YBL032W	5372
YBL033C	3936
YBL034C	6650
YBL035C	3215
YBL036C	3447
YBL037W	3227
YBL038W	1791
YBL039C	32214
YBL039C-A	0
YBL039W-B	379
YBL040C	4297
YBL041W	5939
YBL042C	23630
YBL043W	114
YBL044W	12
YBL045C	4016
YBL046W	1103
YBL047C	27481
YBL048W	371
