15S_rRNA	2992
21S_rRNA	5370
HRA1	11
ICR1	1564
LSR1	1252128
NME1	55146
PWR1	20
Q0010	3
Q0017	0
Q0032	4
Q0045	8470
Q0050	30544
Q0055	20162
Q0060	820
Q0065	1975
Q0070	71
Q0075	1943
Q0080	5
Q0085	534
Q0092	0
Q0105	1325
Q0110	464
Q0115	115
Q0120	91
Q0130	19536
Q0140	120
Q0142	5
Q0143	3
Q0144	1
Q0160	902
Q0182	478
Q0250	13393
Q0255	354
Q0275	13439
Q0297	0
RDN18-1	0
RDN18-2	0
RDN25-1	0
RDN25-2	0
RDN37-1	0
RDN37-2	0
RDN5-1	0
RDN5-2	0
RDN5-3	0
RDN5-4	0
RDN5-5	0
RDN5-6	0
RDN58-1	0
RDN58-2	0
RNA170	84
RPM1	147
RPR1	57490
RUF20	405
RUF21	8
RUF22	5
RUF23	36
RUF5-1	0
RUF5-2	0
SCR1	3000576
SRG1	3581
TLC1	21771
YAL001C	5124
YAL002W	8347
YAL003W	87354
YAL004W	5
YAL005C	56565
YAL007C	10468
YAL008W	2213
YAL009W	2063
YAL010C	2223
YAL011W	1826
YAL012W	18709
YAL013W	1259
YAL014C	2034
YAL015C	2402
YAL016C-A	32
YAL016C-B	0
YAL016W	13514
YAL017W	12761
YAL018C	60
YAL019W	18997
YAL019W-A	25
YAL020C	1086
YAL021C	15529
YAL022C	7594
YAL023C	38395
YAL024C	9216
YAL025C	5525
YAL026C	18048
YAL026C-A	1082
YAL027W	837
YAL028W	618
YAL029C	27587
YAL030W	3430
YAL031C	2898
YAL031W-A	20
YAL032C	2989
YAL033W	2901
YAL034C	3867
YAL034C-B	15
YAL034W-A	737
YAL035W	42516
YAL036C	11009
YAL037C-A	39
YAL037C-B	44
YAL037W	395
YAL038W	606645
YAL039C	3885
YAL040C	15173
YAL041W	9424
YAL042C-A	30
YAL042W	16389
YAL043C	8361
YAL044C	9872
YAL044W-A	2703
YAL045C	6
YAL046C	1469
YAL047C	1850
YAL047W-A	31
YAL048C	2857
YAL049C	4048
YAL051W	5075
YAL053W	41666
YAL054C	1329
YAL055W	438
YAL056C-A	6
YAL056W	6220
YAL058W	4957
YAL059C-A	32
YAL059W	8490
YAL060W	5526
YAL061W	471
YAL062W	1058
YAL063C	64
YAL063C-A	64
YAL064C-A	47
YAL064W	19
YAL064W-B	78
YAL065C	34
YAL066W	2
YAL067C	373
YAL067W-A	0
YAL068C	1
YAL068W-A	0
YAL069W	0
YAR002C-A	22852
YAR002W	7410
YAR003W	3621
YAR007C	5374
YAR008W	1304
YAR009C	2065
YAR010C	0
YAR014C	9897
YAR015W	9023
YAR018C	1906
YAR019C	3707
YAR019W-A	8
YAR020C	110
YAR023C	383
YAR027W	2077
YAR028W	1661
YAR029W	353
YAR030C	189
YAR031W	702
YAR033W	310
YAR035C-A	0
YAR035W	255
YAR042W	14791
YAR047C	44
YAR050W	727
YAR053W	15
YAR060C	0
YAR061W	0
YAR062W	0
YAR064W	2
YAR066W	0
YAR068W	2
YAR069C	0
YAR070C	1
YAR071W	387
YAR073W	28
YAR075W	6
YBL001C	6633
YBL002W	26809
YBL003C	5068
YBL004W	88213
YBL005W	3118
YBL005W-A	0
YBL005W-B	6788
